"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2023-01-20 00:00:00","2023-01-20 20:10:00","Sunset/Parkside","Other Miscellaneous","Other Miscellaneous","Open or Active","Taraval","Investigative Detention","230047351"
"2023-01-20 00:00:00","2023-01-20 20:19:00","Excelsior","Malicious Mischief","Malicious Mischief","Open or Active","Ingleside","Electrical  or Gas Lines, Interfering with","230047458"
"2023-01-20 00:00:00","2023-01-20 20:34:00","Mission","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Mission","Resisting, Delaying, or Obstructing  Peace Officer Duties","230047408"
"2023-01-20 00:00:00","2023-01-20 20:34:00","Mission","Weapons Carrying Etc","Weapons Carrying Etc","Cite or Arrest Adult","Mission","Firearm, Possession of Loaded","230047408"
"2023-01-20 00:00:00","2023-01-20 20:34:00","Mission","Weapons Carrying Etc","Weapons Carrying Etc","Cite or Arrest Adult","Mission","Firearm, Possession By Prohibited Person","230047408"
"2023-01-20 00:00:00","2023-01-20 20:36:00","South of Market","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Aided Case","230047389"
"2023-01-20 00:00:00","2023-01-20 20:45:00","Tenderloin","Assault","Assault","Open or Active","Tenderloin","Battery","230047787"
"2023-01-20 00:00:00","2023-01-20 20:50:00","Inner Richmond","Robbery","Robbery","Open or Active","Richmond","Shoplifting, Force against Agent","230047486"
"2023-01-20 00:00:00","2023-01-20 21:00:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","230048597"
"2023-01-20 00:00:00","2023-01-20 21:00:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230047527"
"2023-01-20 00:00:00","2023-01-20 21:07:00","Nob Hill","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Central","Domestic Violence (secondary only)","230047505"
"2023-01-20 00:00:00","2023-01-20 21:07:00","Nob Hill","Other Miscellaneous","Other Miscellaneous","Open or Active","Central","Investigative Detention","230047505"
"2023-01-20 00:00:00","2023-01-20 21:15:00","Mission","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Locked Vehicle, >$950","230047511"
"2023-01-20 00:00:00","2023-01-20 22:00:00","Haight Ashbury","Malicious Mischief","Malicious Mischief","Open or Active","Park","Malicious Mischief, Vandalism to Vehicle","230048735"
"2023-01-20 00:00:00","2023-01-20 22:00:00","Mission","Other","Other","Open or Active","Mission","Death Report, Cause Unknown","230048127"
"2023-01-20 00:00:00","2023-01-20 22:00:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Vehicle","230048810"
"2023-01-20 00:00:00","2023-01-20 22:00:00","Haight Ashbury","Vandalism","Vandalism","Open or Active","Park","Vehicle, Tampering","230048735"
"2023-01-20 00:00:00","2023-01-20 22:00:00","Outer Richmond","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Richmond","Vehicle, Stolen, Auto","230048218"
"2023-01-20 00:00:00","2023-01-20 22:04:00","Outer Mission","Assault","Assault","Open or Active","Ingleside","Battery","230047555"
"2023-01-20 00:00:00","2023-01-20 22:15:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Driving, License Suspended or Revoked","230047577"
"2023-01-20 00:00:00","2023-01-20 22:15:00","South of Market","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Southern","Traffic Violation Arrest","230047577"
"2023-01-20 00:00:00","2023-01-20 22:20:00","Excelsior","Robbery","Robbery","Open or Active","Ingleside","Carjacking with Bodily Force","230040189"
"2023-01-20 00:00:00","2023-01-20 22:20:00","Excelsior","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Auto","230040189"
"2023-01-20 00:00:00","2023-01-20 22:30:00","Nob Hill","Non-Criminal","Non-Criminal","Open or Active","Central","Mental Health Detention","230047599"
"2023-01-20 00:00:00","2023-01-20 22:30:00","Sunset/Parkside","Other Miscellaneous","Other Miscellaneous","Open or Active","Taraval","Trespassing","230047583"
"2023-01-20 00:00:00","2023-01-20 22:58:00","Mission","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Mission","Miscellaneous Investigation","230047721"
"2023-01-20 00:00:00","2023-01-20 23:00:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Open or Active","Bayview","Malicious Mischief, Vandalism to Vehicle","230049200"
"2023-01-20 00:00:00","2023-01-20 23:18:00","Bayview Hunters Point","Offences Against The Family And Children","Offences Against The Family And Children","Cite or Arrest Adult","Bayview","Domestic Violence (secondary only)","230047630"
"2023-01-20 00:00:00","2023-01-20 23:18:00","Bayview Hunters Point","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Bayview","Malicious Mischief, Vandalism to Vehicle","230047630"
"2023-01-20 00:00:00","2023-01-20 23:21:00","South of Market","Assault","Assault","Open or Active","Tenderloin","Assault, Aggravated, W/ Knife","230047618"
"2023-01-20 00:00:00","2023-01-20 23:22:00","Nob Hill","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Central","Resisting, Delaying, or Obstructing  Peace Officer Duties","230047646"
"2023-01-20 00:00:00","2023-01-20 23:22:00","Nob Hill","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Central","Trespassing","230047646"
"2023-01-20 00:00:00","2023-01-20 23:22:00","Nob Hill","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Central","Identification To Peace Officer, False","230047646"
"2023-01-20 00:00:00","2023-01-20 23:50:00","South of Market","Other Miscellaneous","Other Miscellaneous","Open or Active","Southern","Investigative Detention","230047668"
"2023-01-21 00:00:00","2023-01-21 00:00:00","South of Market","Larceny Theft","Larceny Theft","Open or Active","Tenderloin","Theft, Bicycle, <$50, serial number known","230047709"
"2023-01-21 00:00:00","2023-01-21 00:00:00","Outer Richmond","Malicious Mischief","Malicious Mischief","Open or Active","Richmond","Malicious Mischief, Vandalism to Property","230047812"
"2023-01-21 00:00:00","2023-01-21 00:05:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Driving While Under The Influence Of Alcohol","230047765"
"2023-01-21 00:00:00","2023-01-21 00:07:00","South of Market","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Tenderloin","Traffic Violation Arrest","230047674"
"2023-01-21 00:00:00","2023-01-21 00:22:00","Inner Richmond","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Richmond","Alcohol, Under Influence Of In Public Place","230047743"
"2023-01-21 00:00:00","2023-01-21 00:22:00","Inner Richmond","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Richmond","Malicious Mischief, Vandalism to Property","230047743"
"2023-01-21 00:00:00","2023-01-21 00:23:00","South of Market","Warrant","Warrant","Cite or Arrest Adult","Southern","Warrant Arrest, Local SF Warrant","230047715"
"2023-01-21 00:00:00","2023-01-21 00:54:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, $200-$950","230047793"
"2023-01-21 00:00:00","2023-01-21 00:56:00","Bayview Hunters Point","Assault","Assault","Open or Active","Bayview","Firearm, Discharging in Grossly Negligent Manner","230047771"
"2023-01-21 00:00:00","2023-01-21 01:51:00","Mission","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Driving, License Suspended or Revoked","230047834"
"2023-01-21 00:00:00","2023-01-21 01:51:00","Mission","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Southern","Traffic Violation Arrest","230047834"
"2023-01-21 00:00:00","2023-01-21 02:00:00","Tenderloin","Suspicious Occ","Suspicious Occ","Open or Active","Central","Suspicious Occurrence","230049733"
"2023-01-21 00:00:00","2023-01-21 02:00:00","Tenderloin","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Person, $200-$950 (other than Pickpocket)","230049733"
"2023-01-21 00:00:00","2023-01-21 02:14:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Central","Mental Health Detention","230047862"
"2023-01-21 00:00:00","2023-01-21 02:25:00","Mission","Assault","Assault","Open or Active","Mission","Shooting into Inhabited Dwelling or Occupied Vehicle","230047856"
"2023-01-21 00:00:00","2023-01-21 02:30:00","Russian Hill","Assault","Assault","Open or Active","Northern","Battery","230047903"
"2023-01-21 00:00:00","2023-01-21 02:33:00","Pacific Heights","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Northern","Traffic Violation Arrest","230047890"
"2023-01-21 00:00:00","2023-01-21 02:33:00","Pacific Heights","Traffic Collision","Traffic Collision","Cite or Arrest Adult","Northern","Traffic Collision","230047890"
"2023-01-21 00:00:00","2023-01-21 02:33:00","Pacific Heights","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Driving While Under The Influence Of Alcohol, w/Injury","230047890"
"2023-01-21 00:00:00","2023-01-21 02:51:00","Bernal Heights","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","220769800"
"2023-01-21 00:00:00","2023-01-21 02:54:00","Excelsior","Other Offenses","Other Offenses","Open or Active","Ingleside","License Plate, Found","230047919"
"2023-01-21 00:00:00","2023-01-21 03:27:00","Bayview Hunters Point","Burglary","Burglary","Open or Active","Bayview","Burglary, Warehouse, Att. Forcible Entry","230047947"
"2023-01-21 00:00:00","2023-01-21 03:28:00","Mission","Weapons Offense","Weapons Offense","Open or Active","Mission","Firearm, Discharging Within City Limits","230047925"
"2023-01-21 00:00:00","2023-01-21 03:43:00","Portola","Other Offenses","Other Offenses","Open or Active","Bayview","License Plate, Found","230047953"
"2023-01-21 00:00:00","2023-01-21 04:03:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Aided Case","230047997"
"2023-01-21 00:00:00","2023-01-21 05:50:00","Excelsior","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Ingleside","Vehicle, Stolen, Auto","230048525"
"2023-01-21 00:00:00","2023-01-21 05:54:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Aided Case","230047997"
"2023-01-21 00:00:00","2023-01-21 06:10:00","Potrero Hill","Larceny Theft","Larceny Theft","Open or Active","Bayview","Theft, Vehicle Strip, >$950","230048042"
"2023-01-21 00:00:00","2023-01-21 06:15:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, From Locked Vehicle, $200-$950","230048547"
"2023-01-21 00:00:00","2023-01-21 06:35:00","Visitacion Valley","Other Miscellaneous","Other Miscellaneous","Open or Active","Ingleside","Investigative Detention","230048070"
"2023-01-21 00:00:00","2023-01-21 06:55:00","Portola","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Bayview","Domestic Violence (secondary only)","230048064"
"2023-01-21 00:00:00","2023-01-21 06:55:00","Portola","Offences Against The Family And Children","Offences Against The Family And Children","Open or Active","Bayview","Violation of Restraining Order","230048064"
"2023-01-21 00:00:00","2023-01-21 07:00:00","North Beach","Assault","Assault","Open or Active","Central","Assault, Non-Aggravated","230048092"
"2023-01-21 00:00:00","2023-01-21 07:30:00","Sunset/Parkside","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Taraval","Malicious Mischief, Vandalism to Property","230048149"
"2023-01-21 00:00:00","2023-01-21 08:00:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Truck","230048951"
"2023-01-21 00:00:00","2023-01-21 08:02:00","South of Market","Non-Criminal","Non-Criminal","Open or Active","Southern","Mental Health Detention","230048202"
"2023-01-21 00:00:00","2023-01-21 08:45:00","South of Market","Case Closure","Case Closure","Exceptional Adult","Southern","Case Closure","220645103"
"2023-01-21 00:00:00","2023-01-21 08:45:00","South of Market","Miscellaneous Investigation","Miscellaneous Investigation","Exceptional Adult","Southern","Miscellaneous Investigation","220645103"
"2023-01-21 00:00:00","2023-01-21 09:00:00","Castro/Upper Market","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, Other Property, $200-$950","230048967"
"2023-01-21 00:00:00","2023-01-21 09:12:00","Mission","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Mission","Traffic Violation Arrest","230048161"
"2023-01-21 00:00:00","2023-01-21 09:12:00","Mission","Warrant","Warrant","Cite or Arrest Adult","Mission","Warrant Arrest, Enroute To Outside Jurisdiction","230048161"
"2023-01-21 00:00:00","2023-01-21 09:30:00","Bayview Hunters Point","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230048741"
"2023-01-21 00:00:00","2023-01-21 09:31:00","Sunset/Parkside","Warrant","Warrant","Cite or Arrest Adult","Taraval","Warrant Arrest, Enroute To Outside Jurisdiction","230048252"
"2023-01-21 00:00:00","2023-01-21 09:31:00","Sunset/Parkside","Robbery","Robbery","Cite or Arrest Adult","Taraval","Carjacking with Bodily Force","230048252"
"2023-01-21 00:00:00","2023-01-21 09:31:00","Sunset/Parkside","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Taraval","Resisting, Delaying, or Obstructing  Peace Officer Duties","230048252"
"2023-01-21 00:00:00","2023-01-21 09:31:00","Sunset/Parkside","Robbery","Robbery","Cite or Arrest Adult","Taraval","Carjacking with Bodily Force","230048252"
"2023-01-21 00:00:00","2023-01-21 09:35:00","Tenderloin","Assault","Assault","Open or Active","Tenderloin","Assault, Aggravated, W/ Knife","230048246"
"2023-01-21 00:00:00","2023-01-21 09:35:00","Financial District/South Beach","Robbery","Robbery","Open or Active","Central","Shoplifting, Force against Agent","230048296"
"2023-01-21 00:00:00","2023-01-21 09:41:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Driving, No License Issued","230048268"
"2023-01-21 00:00:00","2023-01-21 09:45:00","Outer Richmond","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Richmond","Vehicle, Stolen, Auto","230048945"
"2023-01-21 00:00:00","2023-01-21 10:00:00","Russian Hill","Assault","Assault","Open or Active","Northern","Assault, Aggravated, W/ Other Weapon","230048406"
"2023-01-21 00:00:00","2023-01-21 10:03:00","Castro/Upper Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Mission","Narcotics Paraphernalia, Possession of","230048519"
"2023-01-21 00:00:00","2023-01-21 10:03:00","Castro/Upper Market","Drug Offense","Drug Offense","Cite or Arrest Adult","Mission","Methamphetamine, Possession For Sale","230048519"
"2023-01-21 00:00:00","2023-01-21 10:03:00","Castro/Upper Market","Warrant","Warrant","Cite or Arrest Adult","Mission","Warrant Arrest, Enroute To Outside Jurisdiction","230048519"
"2023-01-21 00:00:00","2023-01-21 10:10:00","Tenderloin","Disorderly Conduct","Disorderly Conduct","Open or Active","Tenderloin","Terrorist Threats","230048337"
"2023-01-21 00:00:00","2023-01-21 10:16:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Firearm, Turned In by Public","230048359"
"2023-01-21 00:00:00","2023-01-21 10:16:00","Tenderloin","Warrant","Warrant","Open or Active","Tenderloin","Warrant Arrest, Local SF Warrant","230048359"
"2023-01-21 00:00:00","2023-01-21 10:42:00","Tenderloin","Warrant","Warrant","Cite or Arrest Adult","Central","Warrant Arrest, Enroute To Outside Jurisdiction","230048456"
"2023-01-21 00:00:00","2023-01-21 10:42:00","Tenderloin","Assault","Assault","Cite or Arrest Adult","Central","Assault, Aggravated, W/ Force","230048456"
"2023-01-21 00:00:00","2023-01-21 10:42:00","Tenderloin","Robbery","Robbery","Cite or Arrest Adult","Central","Robbery, Comml. Establ., W/ Force","230048456"
"2023-01-21 00:00:00","2023-01-21 10:45:00","Marina","Robbery","Robbery","Open or Active","Northern","Shoplifting, Force against Agent","230048478"
"2023-01-21 00:00:00","2023-01-21 10:50:00","Lone Mountain/USF","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Park","Vehicle, Stolen & Recovered","230048581"
"2023-01-21 00:00:00","2023-01-21 11:00:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, $200-$950","230049125"
"2023-01-21 00:00:00","2023-01-21 11:07:00","Portola","Warrant","Warrant","Cite or Arrest Adult","Bayview","Warrant Arrest, Local SF Warrant","220874346"
"2023-01-21 00:00:00","2023-01-21 11:46:00","Mission","Recovered Vehicle","Recovered Vehicle","Open or Active","Mission","Vehicle, Recovered, Auto","230039994"
"2023-01-21 00:00:00","2023-01-21 12:30:00","North Beach","Disorderly Conduct","Disorderly Conduct","Open or Active","Central","Public Nuisance, Committing","230048995"
"2023-01-21 00:00:00","2023-01-21 12:30:00","Tenderloin","Non-Criminal","Non-Criminal","Open or Active","Tenderloin","Found  Property","230048644"
"2023-01-21 00:00:00","2023-01-21 12:30:00","North Beach","Non-Criminal","Non-Criminal","Open or Active","Central","Aided Case","230048995"
"2023-01-21 00:00:00","2023-01-21 12:50:00","Bayview Hunters Point","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Bayview","Vehicle, Stolen, Auto","230048713"
"2023-01-21 00:00:00","2023-01-21 12:51:00","Visitacion Valley","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","230040264"
"2023-01-21 00:00:00","2023-01-21 13:08:00","Haight Ashbury","Larceny Theft","Larceny Theft","Open or Active","Park","Theft of Computers or Cell Phones","230048707"
"2023-01-21 00:00:00","2023-01-21 13:27:00","Visitacion Valley","Warrant","Warrant","Cite or Arrest Adult","Ingleside","Warrant Arrest, Local SF Warrant","230048854"
"2023-01-21 00:00:00","2023-01-21 13:27:00","Visitacion Valley","Warrant","Warrant","Cite or Arrest Adult","Ingleside","Warrant Arrest, Enroute To Outside Jurisdiction","230048854"
"2023-01-21 00:00:00","2023-01-21 13:41:00","Tenderloin","Assault","Assault","Open or Active","Tenderloin","Assault, Aggravated, W/ Force","230048860"
"2023-01-21 00:00:00","2023-01-21 13:50:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Person, $200-$950 (other than Pickpocket)","230048882"
"2023-01-21 00:00:00","2023-01-21 14:07:00","Castro/Upper Market","Other","Other","Open or Active","Park","Death Report, Cause Unknown","230048989"
"2023-01-21 00:00:00","2023-01-21 14:10:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Cite or Arrest Adult","Central","Theft, Shoplifting, >$950","230048939"
"2023-01-21 00:00:00","2023-01-21 14:30:00","Mission","Disorderly Conduct","Disorderly Conduct","Open or Active","Mission","Disturbing The Peace, Commotion","230049664"
"2023-01-21 00:00:00","2023-01-21 14:30:00","Japantown","Burglary","Burglary","Open or Active","Northern","Burglary, Hot Prowl, Unlawful Entry","230049103"
"2023-01-21 00:00:00","2023-01-21 14:30:00","Mission","Malicious Mischief","Malicious Mischief","Open or Active","Mission","Malicious Mischief, Vandalism to Property","230049664"
"2023-01-21 00:00:00","2023-01-21 14:30:00","Japantown","Robbery","Robbery","Open or Active","Northern","Robbery, W/ Force","230049103"
"2023-01-21 00:00:00","2023-01-21 14:30:00","Mission","Disorderly Conduct","Disorderly Conduct","Open or Active","Mission","Terrorist Threats","230049664"
"2023-01-21 00:00:00","2023-01-21 14:30:00","Marina","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, >$950","230049404"
"2023-01-21 00:00:00","2023-01-21 14:39:00","Mission","Recovered Vehicle","Recovered Vehicle","Open or Active","Ingleside","Vehicle, Recovered, Auto","230031633"
"2023-01-21 00:00:00","2023-01-21 14:51:00","Outer Mission","Other Miscellaneous","Other Miscellaneous","Open or Active","Ingleside","Investigative Detention","230049084"
"2023-01-21 00:00:00","2023-01-21 15:00:00","Golden Gate Park","Larceny Theft","Larceny Theft","Open or Active","Park","Theft, From Locked Vehicle, >$950","230049335"
"2023-01-21 00:00:00","2023-01-21 15:00:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Lost Property, Petty","230049056"
"2023-01-21 00:00:00","2023-01-21 15:02:00","Excelsior","Missing Person","Missing Person","Open or Active","Ingleside","Found Person","230049147"
"2023-01-21 00:00:00","2023-01-21 15:30:00","South of Market","Warrant","Warrant","Cite or Arrest Adult","Tenderloin","Warrant Arrest, Enroute To Outside Jurisdiction","230049250"
"2023-01-21 00:00:00","2023-01-21 15:30:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Tenderloin","Trespassing","230049250"
"2023-01-21 00:00:00","2023-01-21 15:44:00","Mission","Malicious Mischief","Malicious Mischief","Cite or Arrest Adult","Mission","Malicious Mischief, Vandalism to Vehicle","220760319"
"2023-01-21 00:00:00","2023-01-21 16:00:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, $200-$950","230049222"
"2023-01-21 00:00:00","2023-01-21 16:14:00","Bayview Hunters Point","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Bayview","Resisting, Delaying, or Obstructing  Peace Officer Duties","230049266"
"2023-01-21 00:00:00","2023-01-21 16:14:00","Bayview Hunters Point","Offences Against The Family And Children","Offences Against The Family And Children","Cite or Arrest Adult","Bayview","Violation of Restraining Order","230049266"
"2023-01-21 00:00:00","2023-01-21 16:19:00","Hayes Valley","Larceny Theft","Larceny Theft","Open or Active","Northern","Theft, From Locked Vehicle, $200-$950","230049313"
"2023-01-21 00:00:00","2023-01-21 16:30:00","Financial District/South Beach","Assault","Assault","Open or Active","Tenderloin","Battery","230049307"
"2023-01-21 00:00:00","2023-01-21 16:30:00","Bayview Hunters Point","Recovered Vehicle","Recovered Vehicle","Open or Active","Bayview","Vehicle, Recovered, Auto","230031354"
"2023-01-21 00:00:00","2023-01-21 16:30:00","Inner Richmond","Non-Criminal","Non-Criminal","Open or Active","Richmond","Found  Property","230049802"
"2023-01-21 00:00:00","2023-01-21 16:40:00","Western Addition","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Northern","Vehicle, Recovered, Stolen outside SF","230049272"
"2023-01-21 00:00:00","2023-01-21 16:40:00","Visitacion Valley","Non-Criminal","Non-Criminal","Open or Active","Ingleside","Mental Health Detention","230049294"
"2023-01-21 00:00:00","2023-01-21 17:00:00","Mission Bay","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, From Locked Vehicle, >$950","230049761"
"2023-01-21 00:00:00","2023-01-21 17:00:00","Haight Ashbury","Larceny Theft","Larceny Theft","Open or Active","Park","License Plate, Stolen","230049501"
"2023-01-21 00:00:00","2023-01-21 17:05:00","Tenderloin","Assault","Assault","Open or Active","Tenderloin","Battery","230049357"
"2023-01-21 00:00:00","2023-01-21 17:30:00","Outer Richmond","Larceny Theft","Larceny Theft","Open or Active","Richmond","Theft, From Locked Vehicle, >$950","230049777"
"2023-01-21 00:00:00","2023-01-21 17:32:00","Mission","Traffic Violation Arrest","Traffic Violation Arrest","Cite or Arrest Adult","Mission","Traffic Violation Arrest","230049482"
"2023-01-21 00:00:00","2023-01-21 17:32:00","Mission","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Mission","Driving, No License Issued","230049482"
"2023-01-21 00:00:00","2023-01-21 17:45:00","North Beach","Recovered Vehicle","Recovered Vehicle","Open or Active","Central","Vehicle, Recovered, Auto","230043224"
"2023-01-21 00:00:00","2023-01-21 17:45:00","South of Market","Robbery","Robbery","Open or Active","Tenderloin","Robbery, Street or Public Place, W/ Force","230049476"
"2023-01-21 00:00:00","2023-01-21 18:00:00","Russian Hill","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Locked Vehicle, >$950","230049830"
"2023-01-21 00:00:00","2023-01-21 18:00:00","Bernal Heights","Other Offenses","Other Offenses","Open or Active","Ingleside","License Plate, Recovered","230049824"
"2023-01-21 00:00:00","2023-01-21 18:20:00","Treasure Island","Robbery","Robbery","Open or Active","Southern","Robbery, Street or Public Place, W/ Gun","230049567"
"2023-01-21 00:00:00","2023-01-21 18:23:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, Lost Property, Grand","230049517"
"2023-01-21 00:00:00","2023-01-21 18:24:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Aided Case","230049589"
"2023-01-21 00:00:00","2023-01-21 19:00:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Dog, Bite or Attack","230049636"
"2023-01-21 00:00:00","2023-01-21 19:10:00","Tenderloin","Assault","Assault","Open or Active","Northern","Assault, Aggravated, W/ Other Weapon","230049620"
"2023-01-21 00:00:00","2023-01-21 19:13:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Trespassing","230049670"
"2023-01-21 00:00:00","2023-01-21 19:13:00","Tenderloin","Assault","Assault","Open or Active","Tenderloin","Battery","230049670"
"2023-01-21 00:00:00","2023-01-21 19:58:00","Bayview Hunters Point","Non-Criminal","Non-Criminal","Open or Active","Bayview","Mental Health Detention","230049783"
"2023-01-21 00:00:00","2023-01-21 20:01:00","Hayes Valley","Assault","Assault","Cite or Arrest Adult","Northern","Battery","230049755"
"2023-01-21 00:00:00","2023-01-21 20:01:00","Hayes Valley","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Trespassing","230049755"
"2023-01-21 00:00:00","2023-01-21 20:01:00","Hayes Valley","Disorderly Conduct","Disorderly Conduct","Cite or Arrest Adult","Northern","Alcohol, Under Influence Of In Public Place","230049755"
"2023-01-21 00:00:00","2023-01-21 20:29:00","Portola","Robbery","Robbery","Open or Active","Bayview","Robbery, Street or Public Place, W/ Force","230049799"
"2023-01-21 00:00:00","2023-01-21 20:39:00","Mission Bay","Non-Criminal","Non-Criminal","Open or Active","Southern","Mental Health Detention","230049846"
"2023-01-21 00:00:00","2023-01-21 21:00:00","Mission","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Mission","Vehicle, Stolen, Auto","230049874"
